TimeMS,Input,Output_1,Output_2
7.791667,3525,1955,1959
7.812500,2952,2030,1991
7.833333,2250,2287,2049
7.854167,1519,2690,2188
7.875000,863,2979,2383
7.895833,375,2980,2539
7.916667,126,2855,2529
7.937500,150,1986,2222
7.958333,444,942,1710
7.979167,966,942,1070
8.000000,2047,942,960
8.020834,2047,942,960
8.041667,2047,942,943
8.062500,2047,942,960
8.083334,2047,1794,1287
8.104167,2047,2979,2189
8.125000,2047,2980,2990
8.145834,2047,2979,2991
8.166667,2047,2980,2991
8.187500,2047,2980,2991
8.208334,2047,2979,2991
8.229167,2047,2638,2990
8.250000,2047,942,2055
8.270834,2047,942,961
8.291667,2047,943,960
8.312500,2047,942,961
8.333334,2047,942,960
8.354167,2047,942,960
8.375000,2047,1635,1066
8.395834,2047,2979,1903
8.416667,2047,2980,2698
8.437500,2047,2979,2991
8.458334,2047,2980,2991
8.479167,2047,2980,2991
8.500000,2047,2980,2991
8.520834,2047,2980,2991
8.541667,2047,2980,2990
8.562500,2047,2980,2991
8.583334,2047,2446,2528
8.604167,2047,942,1668
8.625000,2047,942,943
8.645834,2047,942,960
8.666667,2047,942,961
8.687500,2047,942,960
8.708334,2047,1103,960
8.729167,2047,1990,1359
8.750000,2047,2670,1865
8.770834,2047,2920,2214
8.791667,2047,2980,2508
8.812500,2047,2980,2762
8.833334,2047,2980,2991
8.854167,2047,2979,2990
8.875000,2047,2980,2991
8.895834,2047,2980,2991
8.916667,2047,2977,2881
8.937500,2047,1856,2283
8.958334,2047,942,1472
8.979167,2047,943,961
9.000000,2047,943,961
9.020834,2047,943,961
9.041667,2047,942,943
9.062500,2047,1377,1198
9.083334,2047,2060,1610
9.104167,2047,2503,1989
9.125000,2047,2731,2317
9.145834,2047,2955,2532
9.166667,2047,2980,2732
9.187500,2047,2979,2883
9.208334,2047,2980,2954
9.229167,2047,2980,2923
9.250000,2047,2980,2753
9.270834,2047,2594,2444
9.291667,2047,1582,1987
9.312500,2047,942,1575
9.333334,2047,943,1228
9.354167,2047,942,1024
9.375000,2047,943,1003
9.395834,2047,1037,1188
9.416667,2047,1509,1447
9.437500,2047,1966,1736
9.458334,2047,2372,2026
9.479167,2047,2671,2240
9.500000,2047,2945,2437
9.520834,2047,2980,2574
9.541667,2047,2980,2636
9.562500,2047,2980,2664
9.583334,2047,2980,2605
9.604167,2047,2797,2447
9.625000,2047,2250,2211
9.645834,2047,1571,1957
9.666667,2047,1034,1636
9.687500,2047,942,1417
9.708334,2047,942,1259
9.729167,2047,942,1253
9.750000,2047,1156,1347
9.770834,2047,1543,1579
9.791667,2047,1959,1829
9.812500,2047,2383,2063
9.833334,2047,2697,2285
9.854167,2047,2915,2440
9.875000,2047,2980,2497
9.895834,2047,2979,2511
9.916667,2047,2915,2434
9.937500,2047,2695,2340
9.958334,2047,2372,2186
9.979167,2047,1964,2028
10.000000,2047,1609,1856
10.020834,2047,1314,1699
10.041667,2047,1135,1572
10.062500,2047,1098,1519
10.083334,2047,1221,1509
10.104167,2047,1441,1603
10.125000,2047,1772,1770
10.145834,2047,2112,1935
10.166667,2047,2408,2122
10.187500,2047,2634,2255
10.208334,2047,2734,2345
10.229167,2047,2729,2341
10.250000,2047,2624,2315
10.270834,2047,2471,2244
10.291667,2047,2281,2155
10.312500,2047,2086,2062
10.333334,2047,1839,1958
10.354167,2047,1640,1859
10.375000,2047,1483,1771
10.395834,2047,1413,1701
10.416667,2047,1409,1679
10.437500,2047,1542,1711
10.458334,2047,1734,1798
10.479167,2047,1999,1901
10.500000,2047,2241,2050
10.520834,2047,2434,2154
10.541667,2047,2499,2213
10.562500,2047,2501,2221
10.583334,2047,2404,2179
10.604167,2047,2287,2148
10.625000,2047,2184,2091
10.645834,2047,2061,2054
10.666667,2047,1964,2031
10.687500,2047,1859,1986
10.708334,2047,1761,1899
10.729167,2047,1668,1825
10.750000,2047,1601,1775
10.770834,2047,1602,1738
10.791667,2047,1645,1735
10.812500,2047,1794,1804
10.833334,2047,1962,1903
10.854167,2047,2191,2027
10.875000,2047,2339,2127
10.895834,2047,2413,2178
10.916667,2047,2403,2185
10.937500,2047,2306,2157
10.958334,2047,2184,2093
10.979167,2047,2055,2053
11.000000,2047,1923,1990
11.020834,2047,1833,1961
11.041667,2047,1774,1903
11.062500,2047,1731,1865
11.083334,2047,1707,1831
11.104167,2047,1729,1831
11.125000,2047,1767,1824
11.145834,2047,1826,1870
11.166667,2047,1927,1901
11.187500,2047,2054,1954
11.208334,2047,2147,2022
11.229167,2047,2221,2063
11.250000,2047,2213,2080
11.270834,2047,2183,2088
11.291667,2047,2144,2062
11.312500,2047,2062,2052
11.333334,2047,1994,2021
11.354167,2047,1933,1986
11.375000,2047,1857,1932
11.395834,2047,1799,1892
11.416667,2047,1771,1857
11.437500,2047,1740,1839
11.458334,2047,1761,1837
11.479167,2047,1832,1857
11.500000,2047,1899,1890
11.520834,2047,1986,1927
11.541667,2047,2081,1966
11.562500,2047,2125,1995
11.583334,2047,2144,2031
11.604167,2047,2118,2024
11.625000,2047,2061,2023
11.645834,2047,1998,2029
11.666667,2047,1958,1995
11.687500,2047,1923,1966
11.708334,2047,1901,1933
11.729167,2047,1866,1922
11.750000,2047,1832,1896
11.770834,2047,1793,1869
11.791667,2047,1807,1867
11.812500,2047,1828,1870
11.833334,2047,1862,1901
11.854167,2047,1935,1901
11.875000,2047,1991,1931
11.895834,2047,2016,1952
11.916667,2047,2059,1960
11.937500,2047,2083,1999
11.958334,2047,2061,2021
11.979167,2047,2049,2021
12.000000,2047,2025,2021
12.020834,2047,1997,2018
12.041667,2047,1963,1993
12.062500,2047,1922,1960
12.083334,2047,1866,1929
12.104167,2047,1836,1896
12.125000,2047,1838,1902
12.145834,2047,1831,1889
12.166667,2047,1856,1894
12.187500,2047,1896,1903
12.208334,2047,1953,1926
12.229167,2047,1988,1923
12.250000,2047,2016,1961
12.270834,2047,2019,1988
12.291667,2047,2029,2023
12.312500,2047,2051,2051
12.333334,2047,2059,2063
12.354167,2047,2019,2052
12.375000,2047,1990,2026
12.395834,2047,1958,1989
12.416667,2047,1923,1952
12.437500,2047,1893,1922
12.458334,2047,1871,1891
12.479167,2047,1861,1900
12.500000,2047,1862,1901
12.520834,2047,1862,1892
12.541667,2047,1890,1902
12.562500,2047,1923,1931
12.583334,2047,1959,1934
12.604167,2047,1992,1962
12.625000,2047,2030,1990
12.645834,2047,2025,2031
12.666667,2047,2025,2030
12.687500,2047,2027,2048
12.708334,2047,1990,2023
12.729167,2047,1965,2019
12.750000,2047,1957,1997
12.770834,2047,1932,1956
12.791667,2047,1897,1933
12.812500,2047,1899,1935
12.833334,2047,1890,1920
12.854167,2047,1889,1897
12.875000,2047,1899,1896
12.895834,2047,1924,1924
12.916667,2047,1954,1929
12.937500,2047,1991,1957
12.958334,2047,2025,1994
12.979167,2047,2030,2020
13.000000,2047,2057,2056
13.020834,2047,2063,2062
13.041667,2047,2025,2056
13.062500,2047,1999,2021
13.083334,2047,1962,2019
13.104167,2047,1960,1984
13.125000,2047,1929,1964
13.145834,2047,1921,1966
13.166667,2047,1928,1933
13.187500,2047,1903,1935
13.208334,2047,1901,1930
13.229167,2047,1926,1930
13.250000,2047,1930,1926
13.270834,2047,1962,1953
13.291667,2047,1993,1994
13.312500,2047,2021,2023
13.333334,2047,2055,2048
13.354167,2047,2058,2063
13.375000,2047,2048,2063
13.395834,2047,2051,2059
13.416667,2047,2017,2049
13.437500,2047,1985,2031
13.458334,2047,1985,1997
13.479167,2047,1952,1992
13.500000,2047,1935,1955
13.520834,2047,1934,1935
13.541667,2047,1927,1923
13.562500,2047,1933,1923
13.583334,2047,1933,1930
13.604167,2047,1958,1953
13.625000,2047,1984,1990
13.645834,2047,2017,1995
13.666667,2047,2022,2026
13.687500,2047,2020,2030
13.708334,2047,1999,2020
13.729167,2047,1993,2019
13.750000,2047,1993,2020
13.770834,2047,1995,2019
13.791667,2047,1996,2030
13.812500,2047,1988,2018
13.833334,2047,1989,1999
13.854167,2047,1965,1960
13.875000,2047,1923,1933
13.895834,2047,1923,1931
13.916667,2047,1920,1927
13.937500,2047,1931,1933
13.958334,2047,1955,1954
13.979167,2047,1963,1961
14.000000,2047,1998,1998
14.020834,2047,1993,2017
14.041667,2047,1997,2030
14.062500,2047,1995,2019
14.083334,2047,1995,2018
14.104167,2047,1993,2029
14.125000,2047,1991,2021
14.145834,2047,1986,1993
14.166667,2047,1990,1993
14.187500,2047,1954,1958
14.208334,2047,1935,1955
14.229167,2047,1924,1929
14.250000,2047,1922,1921
14.270834,2047,1933,1927
14.291667,2047,1967,1955
14.312500,2047,1987,1959
14.333334,2047,1987,1996
14.354167,2047,1994,1996
14.375000,2047,1995,2024
14.395834,2047,1989,2027
14.416667,2047,1984,2026
14.437500,2047,1984,2025
14.458334,2047,1998,2019
14.479167,2047,1994,1993
14.500000,2047,1985,1995
14.520834,2047,1967,1963
14.541667,2047,1930,1959
14.562500,2047,1930,1929
14.583334,2047,1929,1924
14.604167,2047,1922,1927
14.625000,2047,1959,1955
14.645834,2047,1967,1959
14.666667,2047,1984,1991
14.687500,2047,1989,1985
14.708334,2047,1996,1988
14.729167,2047,1967,1987
14.750000,2047,1953,1999
14.770834,2047,1961,1991
14.791667,2047,1959,1984
14.812500,2047,1959,1962
14.833334,2047,1958,1957
14.854167,2047,1935,1964
14.875000,2047,1922,1955
14.895834,2047,1923,1927
14.916667,2047,1900,1920
14.937500,2047,1901,1920
14.958334,2047,1928,1929
14.979167,2047,1928,1955
15.000000,2047,1963,1955
15.020834,2047,1960,1985
15.041667,2047,1965,1995
15.062500,2047,1967,1985
15.083334,2047,1966,1988
15.104167,2047,1961,1986
15.125000,2047,1957,1997
15.145834,2047,1955,1991
15.166667,2047,1964,1965
15.187500,2047,1957,1958
15.208334,2047,1935,1967
15.229167,2047,1928,1963
15.250000,2047,1926,1959
15.270834,2047,1930,1962
15.291667,2047,1955,1967
15.312500,2047,1966,1958
15.333334,2047,1962,1964
15.354167,2047,1985,1988
15.375000,2047,1989,1996
15.395834,2047,1992,1986
15.416667,2047,1991,1990
15.437500,2047,1989,1991
15.458334,2047,1986,1988
15.479167,2047,1964,1996
15.500000,2047,1957,1984
15.520834,2047,1965,1957
15.541667,2047,1955,1964
15.562500,2047,1929,1955
15.583334,2047,1923,1953
15.604167,2047,1935,1935
15.625000,2047,1924,1956
15.645834,2047,1952,1965
15.666667,2047,1952,1959
15.687500,2047,1967,1987
15.708334,2047,1999,1984
15.729167,2047,1992,1998
15.750000,2047,1995,2022
15.770834,2047,1992,2025
15.791667,2047,1985,2023
15.812500,2047,1993,2017
15.833334,2047,1967,1991
15.854167,2047,1961,1995
15.875000,2047,1956,1984
15.895834,2047,1952,1963
15.916667,2047,1964,1958
15.937500,2047,1961,1957
15.958334,2047,1958,1956
15.979167,2047,1956,1957
16.000000,2047,1963,1959
16.020834,2047,1957,1967
16.041668,2047,1985,1991
16.062500,2047,1997,1985
16.083334,2047,1992,1996
16.104168,2047,1998,2017
16.125000,2047,1999,2024
16.145834,2047,1991,2022
16.166668,2047,1994,1998
16.187500,2047,1967,1984
16.208334,2047,1956,1986
